legal_text,simplified_text
"518. (1) In computing the period of limitation, the time during which any person has
been prosecuting with due diligence another prosecution, whether in a Court of first instance
or in a Court of appeal or revision, against the offender, shall be excluded:
Provided that no such exclusion shall be made unless the prosecution relates to the
same facts and is prosecuted in good faith in a Court which from defect of jurisdiction or
other cause of a like nature, is unable to entertain it.
(2) Where the institution of the prosecution in respect of an offence has been stayed
by an injunction or order, then, in computing the period of limitation, the period of the
continuance of the injunction or order, the day on which it was issued or made, and the day
on which it was withdrawn, shall be excluded.
(3) Where notice of prosecution for an offence has been given, or where, under any
law for the time being in force, the previous consent or sanction of the Government or any
other authority is required for the institution of any prosecution for an offence, then, in
computing the period of limitation, the period of such notice or, as the case may be, the time
required for obtaining such consent or sanction shall be excluded.
Explanation.—In computing the time required for obtaining the consent or sanction
of the Government or any other authority, the date on which the application was made for
obtaining the consent or sanction and the date of receipt of the order of the Government or
other authority shall both be excluded.
(4) In computing the period of limitation, the time during which the offender—
(a) has been absent from India or from any territory outside India which is
under the administration of the Central Government; or
(b) has avoided arrest by absconding or concealing himself,
shall be excluded.","Time Limit Exceptions in Legal Proceedings:

1. Prosecution Delays: If someone is actively pursuing legal action against an offender in court, the time taken for such legal action will not be counted towards the time limit for filing a case, provided that the legal action is genuine and related to the same facts.

2. Stayed Prosecution: If legal proceedings have been temporarily stopped due to a court order, the time during which the proceedings are paused and the day the order is issued or withdrawn will not be counted towards the time limit for filing a case.

3. Notice or Consent Requirements: If a notice of prosecution is given, or if government consent or sanction is required for initiating legal proceedings, the time taken for these notifications or obtaining of consent will not be counted towards the time limit for filing a case.

4. Offender's Absence or Avoidance: The time during which the offender is absent from India or avoiding arrest by absconding will not be counted towards the time limit for filing a case."
"519. Where the period of limitation expires on a day when the Court is closed, the
Court may take cognizance on the day on which the Court reopens.
Explanation.—A Court shall be deemed to be closed on any day within the meaning
of this section, if, during its normal working hours, it remains closed on that day.","Simplified text:
If the time limit for filing a case ends on a day when the Court is closed, the Court can accept the case when it reopens. A Court is considered closed if it remains closed during its normal working hours on any particular day."
"520. In the case of a continuing offence, a fresh period of limitation shall begin to run
at every moment of the time during which the offence continues.","Continuing Offence: If an offence is ongoing, the time limit for taking legal action will restart at every moment that the offence continues."
"521. Notwithstanding anything contained in the foregoing provisions of this Chapter,
any Court may take cognizance of an offence after the expiry of the period of limitation, if it
is satisfied on the facts and in the circumstances of the case that the delay has been
properly explained or that it is necessary so to do in the interests of justice.","Legal Simplified Text:

Even if the time limit for taking action on a crime has passed, a court can still decide to take up the case if it believes there is a good reason for the delay or if it is necessary for the sake of justice."
"522. When an offence is tried by the High Court otherwise than under section 448, it
shall, in the trial of the offence, observe the same procedure as a Court of Sessions would
observe if it were trying the case.","Simplified text:
  If a crime is tried in the High Court, except under section 448, the court must follow the same procedures as a Sessions Court would for the trial."
"523. (1) The Central Government may make rules consistent with this Sanhita and the
Army Act, 1950, the Navy Act, 1957, and the Air Force Act, 1950, and any other law, relating
to the Armed Forces of the Union, for the time being in force, as to cases in which persons
subject to military, naval or air-force law, or such other law, shall be tried by a Court to which
this Sanhita applies, or by a Court-martial; and when any person is brought before a Magistrate
and charged with an offence for which he is liable to be tried either by a Court to which this
Sanhita applies or by a Court-martial, such Magistrate shall have regard to such rules, and
shall in proper cases deliver him, together with a statement of the offence of which he is
accused, to the commanding officer of the unit to which he belongs, or to the commanding
officer of the nearest military, naval or air-force station, as the case may be, for the purpose
of being tried by a Court-martial.
Explanation.—In this section—
(a) ""Unit"" includes a regiment, corps, ship, detachment, group, battalion or
Company;
(b) ""Court-martial"" includes any Tribunal with the powers similar to those of a
Court-martial constituted under the relevant law applicable to the Armed Forces of
the Union.
(2) Every Magistrate shall, on receiving a written application for that purpose by the
commanding officer of any unit or body of soldiers, sailors or airmen stationed or employed
at any such place, use his utmost endeavours to apprehend and secure any person accused
of such offence.
(3) A High Court may, if it thinks fit, direct that a prisoner detained in any jail situate
within the State be brought before a Court-martial for trial or to be examined touching any
matter pending before the Court-martial.","Court Proceedings for Military Personnel:

The central government has the authority to create rules in line with this law and other related laws regarding the armed forces. These rules determine whether military personnel should be tried in a civilian court or a military court for certain offenses. If a person is charged with an offense that could be tried in either a civilian court or a military court, the magistrate must follow these rules. In some cases, the magistrate may deliver the accused, along with a statement of the offense, to their commanding officer for trial by a military court.

Explanation: In this section:
- ""Unit"" includes various military groups and divisions.
- ""Court-martial"" includes any tribunal with similar powers to a military court under the relevant laws for the armed forces.

Additionally, every magistrate must make every effort to arrest and detain any person accused of an offense who is stationed or employed at a military location when requested by the commanding officer.

Furthermore, a High Court has the authority to order that a prisoner held in a state jail be brought before a military court for trial or examination relating to an ongoing matter before the military court."
"524. Subject to the power conferred by article 227 of the Constitution, the forms set
forth in the Second Schedule, with such variations as the circumstances of each case
require, may be used for the respective purposes therein mentioned, and if used shall be
sufficient.","Using Approved Forms: Unless specifically allowed by article 227 of the Constitution, the forms listed in the Second Schedule can be used for their intended purposes. If used, these forms will be considered valid, as long as they are adjusted as needed for each particular situation."
"525. (1) Every High Court may, with the previous approval of the State Government,
make rules—
(a) as to the persons who may be permitted to act as petition-writers in the
Criminal Courts subordinate to it;
(b) regulating the issue of licences to such persons, the conduct of business by
them, and the scale of fees to be charged by them;
(c) providing a penalty for a contravention of any of the rules so made and
determining the authority by which such contravention may be investigated and the
penalties imposed;
(d) any other matter which is required to be, or may be, provided by rules made
by the State Government.
(2) All rules made under this section shall be published in the Official Gazette.","High Court Rules on Petition-Writers: Each High Court, with prior approval from the State Government, can create regulations regarding the following:
1. Who is allowed to work as petition-writers in its subordinate Criminal Courts
2. Issuing licenses to these individuals, their business conduct, and the fees they can charge
3. Imposing penalties for breaking these rules and determining the authority to investigate and enforce these penalties
4. Any other matters that the State Government requires or permits to be addressed through rules.
All rules created under this section must be published in the Official Gazette."
"526. If the Legislative Assembly of a State by a resolution so permits, the State
Government may, after consultation with the High Court, by notification, direct that references
in sections 127, 128, 129, 164 and 166 to an Executive Magistrate shall be construed as
references to a Judicial Magistrate of the first class.","If the State Legislative Assembly passes a resolution allowing it, the State Government can, after talking to the High Court, officially decide that in certain sections of the law, the term ""Executive Magistrate"" will be understood to mean ""Judicial Magistrate of the first class."""
"527. No Judge or Magistrate shall, except with the permission of the Court to which
an appeal lies from his Court, try or commit for trial any case to or in which he is a party, or
personally interested, and no Judge or Magistrate shall hear an appeal from any judgment
or order passed or made by himself.
Explanation.—A Judge or Magistrate shall not be deemed to be a party to, or
personally interested in, any case by reason only that he is concerned therein in a public
capacity, or by reason only that he has viewed the place in which an offence is alleged to
have been committed, or any other place in which any other transaction material to the case
is alleged to have occurred, and made an inquiry in connection with the case.","527. Restrictions on Judges and Magistrates' Personal Involvement
No Judge or Magistrate may hear a case or make a decision if they are personally involved or have a personal interest in the case, unless the higher court gives permission. They also cannot hear an appeal from a judgment or order they made. 
Explanation: A Judge or Magistrate is not considered personally involved in a case just because they are involved in a public capacity or have conducted an inquiry related to the case."
"528. No advocate who practices in the Court of any Magistrate shall sit as a Magistrate
in that Court or in any Court within the local jurisdiction of that Court.",Advocates who practice in a Magistrate's Court cannot also serve as a Magistrate in that Court or in any Court nearby.
"529. A public servant having any duty to perform in connection with the sale of any
property under this Sanhita shall not purchase or bid for the property.",A public servant involved in selling any property under this law cannot buy or bid for the property.
"530. Nothing in this Sanhita shall be deemed to limit or affect the inherent powers of
the High Court to make such orders as may be necessary to give effect to any order under
this Sanhita, or to prevent abuse of the process of any Court or otherwise to secure the
ends of justice.","The Sanhita does not limit the High Court's power to make orders to enforce orders under the Sanhita or prevent abuse of the legal process, or to ensure justice is served."
"531. Every High Court shall so exercise its superintendence over the Courts of Sessions
and Courts of Judicial Magistrates subordinate to it as to ensure that there is an expeditious
and proper disposal of cases by the Judges and Magistrates.",Overseeing Lower Courts: Each High Court must supervise the Sessions Courts and Judicial Magistrates under it to ensure that cases are dealt with promptly and correctly by the Judges and Magistrates.
"532. All trials, inquires and proceedings under this Code, including—
(i) summons and warrant, issuance, service and execution thereof;
(ii) holding of inquiry;
(iii) examination of complainant and witnesses;
(iv) trial before a Court of Session, trial in warrant cases, trial in summons-cases,
summary trials and plea bargaining;
(v) recording of evidence in inquiries and trials;
(vi) trials before High Courts;
(vii) all appellate proceedings and such other proceedings,
may be held in electronic mode, by use of electronic communication or use of audio-video
electronic means.","All legal processes under this Code, including summoning, holding inquiries, examining complainants and witnesses, trials before different courts, recording evidence, appellate proceedings, and other related procedures, can be conducted electronically through electronic communication or audio-video electronic means."
"60. Secondary evidence may be given of the existence, condition, or contents of a
document in the following cases, namely: —
(a) when the original is shown or appears to be in the possession or power—
(i) of the person against whom the document is sought to be proved; or
(ii) of any person out of reach of, or not subject to, the process of the
Court; or
(iii) of any person legally bound to produce it,
and when, after the notice mentioned in section 64 such person does not produce it;
(b) when the existence, condition or contents of the original have been proved
to be admitted in writing by the person against whom it is proved or by his
representative in interest;
(c) when the original has been destroyed or lost, or when the party offering
evidence of its contents cannot, for any other reason not arising from his own default
or neglect, produce it in reasonable time;
(d) when the original is of such a nature as not to be easily movable;
(e) when the original is a public document within the meaning of section 74;
(f) when the original is a document of which a certified copy is permitted by this
Adhiniyam, or by any other law in force in India to be given in evidence;
(g) when the originals consist of numerous accounts or other documents which
cannot conveniently be examined in Court, and the fact to be proved is the general
result of the whole collection.
Explanation.—For the purposes of—
(i) clauses (a), (c) and (d), any secondary evidence of the contents of the
document is admissible;
(ii) clause (b), the written admission is admissible;
(iii) clause (e) or (f), a certified copy of the document, but no other kind of
secondary evidence, is admissible;
(iv) clause (g), evidence may be given as to the general result of the documents
by any person who has examined them, and who is skilled in the examination of such
document.","Secondary Evidence:
When the original document cannot be produced, secondary evidence can still be used to prove its existence, condition, or contents in the following situations:
- If the original is in possession of someone who is not producing it despite notice.
- If the original has been admitted in writing by the person against whom it is being used.
- If the original has been destroyed, lost, or cannot be produced in a reasonable time for reasons not due to negligence.
- If the original is not easily movable.
- If the original is a public document.
- If the original can be replaced by a certified copy.
- If the original consists of numerous accounts or documents that cannot be conveniently examined in court.

Additionally:
- In cases (a), (c), and (d), any secondary evidence of the document's contents is allowed.
- In case (b), written admissions are admissible.
- In case (e) or (f), only certified copies are admissible as secondary evidence.
- In case (g), evidence of the general result of the documents can be provided by a skilled person who has examined them."
"61. Nothing in this Adhiniyam shall apply to deny the admissibility of an electronic
or digital record in the evidence on the ground that it is an electronic or digital record and
such record shall, subject to section 63, have the same legal effect, validity and enforceability
as other document.","Electronic Records Admissibility:

This law does not stop electronic or digital records from being used as evidence just because they are electronic or digital. These records will have the same legal importance, validity, and enforceability as any other document, except as specified in section 63."
"62. The contents of electronic records may be proved in accordance with the
provisions of section 63.",Proof of Electronic Records: The information in electronic records can be proven as per the rules in section 63.
"64. Secondary evidence of the contents of the documents referred to in clause (a) of
section 60, shall not be given unless the party proposing to give such secondary evidence
has previously given to the party in whose possession or power the document is, or to his
advocate or representative, such notice to produce it as is prescribed by law; and if no
notice is prescribed by law, then such notice as the Court considers reasonable under the
circumstances of the case:
Provided that such notice shall not be required in order to render secondary evidence
admissible in any of the following cases, or in any other case in which the Court thinks fit to
dispense with it: —
(a) when the document to be proved is itself a notice;
(b) when, from the nature of the case, the adverse party must know that he will
be required to produce it;
(c) when it appears or is proved that the adverse party has obtained possession
of the original by fraud or force;
(d) when the adverse party or his agent has the original in Court;
(e) when the adverse party or his agent has admitted the loss of the document;
(f) when the person in possession of the document is out of reach of, or not
subject to, the process of the Court.","Evidence of Documents: In order to present secondary evidence of the contents of the documents referred to in section 60(a), the party wishing to do so must have given prior notice to the party who has the document, or to their legal representative. If the law does not specify a notice period, the court will determine a reasonable notice period based on the circumstances. However, there are exceptions where notice is not required:
When the document itself is a notice.
When it is reasonable to assume that the other party knows they will be asked to produce it.
When it is evident or proven that the other party obtained the original document through fraud or force.
When the other party or their representative has the original document in court.
When the other party or their representative has admitted the loss of the document.
When the person in possession of the document is beyond the court's jurisdiction."
"65. If a document is alleged to be signed or to have been written wholly or in part by
any person, the signature or the handwriting of so much of the document as is alleged to be
in that person's handwriting must be proved to be in his handwriting.","If someone claims that a document was signed or written by a particular person, they need to prove that the signature or the handwriting in question is indeed that person's."
"66. Except in the case of a secure electronic signature, if the electronic signature of
any subscriber is alleged to have been affixed to an electronic record, the fact that such
electronic signature is the electronic signature of the subscriber must be proved.","Electronic Signatures: Unless it's a secure electronic signature, in cases where it's claimed that an electronic signature was added to an electronic record, it must be proven that the electronic signature belongs to the person who is said to have signed it."
"67. If a document is required by law to be attested, it shall not be used as evidence
until one attesting witness at least has been called for the purpose of proving its execution,
if there be an attesting witness alive, and subject to the process of the Court and capable of
giving evidence:
Provided that it shall not be necessary to call an attesting witness in proof of the
execution of any document, not being a will, which has been registered in accordance with
the provisions of the Indian Registration Act, 1908, unless its execution by the person by
whom it purports to have been executed is specifically denied.","If a document must be witnessed by law, it cannot be used as evidence until at least one witness who saw it being signed is called to confirm its execution, provided that the witness is alive, can testify in court, and subject to the court's processes. However, if a document, other than a will, has been registered according to the Indian Registration Act, 1908, it's not necessary to call an attesting witness unless the person who allegedly signed the document denies doing so."
"68. If no such attesting witness can be found, it must be proved that the attestation
of one attesting witness at least is in his handwriting, and that the signature of the person
executing the document is in the handwriting of that person.","If there is no witness available to verify the document, it must be proven that at least one witness wrote the attestation and that the signature on the document matches the handwriting of the person who signed it."
"69. The admission of a party to an attested document of its execution by himself
shall be sufficient proof of its execution as against him, though it be a document required by
law to be attested.","Admitting to signing an official document is enough to prove that it was signed by that person, even if the law says it needs to be witnessed."
"70. If the attesting witness denies or does not recollect the execution of the document,
its execution may be proved by other evidence.","70. If the witness who signed the document denies being present at its execution or cannot remember it, the document's execution can be proven using other evidence."
"71. An attested document not required by law to be attested may be proved as if it
was unattested.","An unattested document can be proven in the same way as if it had been attested, even if it was not required by law to be attested."
"72. (1) In order to ascertain whether a signature, writing or seal is that of the person
by whom it purports to have been written or made, any signature, writing, or seal admitted
or proved to the satisfaction of the Court to have been written or made by that person may
be compared with the one which is to be proved, although that signature, writing or seal has
not been produced or proved for any other purpose.
(2) The Court may direct any person present in Court to write any words or figures for
the purpose of enabling the Court to compare the words or figures so written with any
words or figures alleged to have been written by such person.
(3) This section applies also, with any necessary modifications, to finger impressions.","To determine if a signature, writing, or seal is genuine, the Court can compare it to another signature, writing, or seal known to be genuine, even if the latter has not been presented for any other reason. The Court can also ask someone in the courtroom to write specific words or numbers to compare with the disputed writing. This rule also applies, with necessary changes, to fingerprint impressions."
"73. In order to ascertain whether a digital signature is that of the person by whom it
purports to have been affixed, the Court may direct—
(a) that person or the Controller or the Certifying Authority to produce the
Digital Signature Certificate;
(b) any other person to apply the public key listed in the Digital Signature
Certificate and verify the digital signature purported to have been affixed by that
person.","To check if a digital signature is authentic, the court can:

Ask the person or the Controller or the Certifying Authority to show the Digital Signature Certificate.
Request any other person to use the public key listed in the Digital Signature Certificate to verify that the digital signature belongs to the person who claims to have applied it."
"74. (1) The following documents are public documents:—
(a) documents forming the acts, or records of the acts—
(i) of the sovereign authority;
(ii) of official bodies and tribunals; and
(iii) of public officers, legislative, judicial and executive of India or of a
foreign country;
(b) public records kept in any State or Union territory of private documents.
(2) All other documents except the documents referred to in sub-section (1) are
private.","Public Documents: The following documents are considered public and can be accessed by anyone:
 
Documents that record the actions of the government, official bodies, and tribunals, as well as public officers, whether they are part of the legislative, judicial, or executive branches of the Indian government or a foreign country.
 
Public records held in any State or Union territory that relate to private documents.

Private Documents: Any documents not mentioned in the previous section are considered private."
"75. Every public officer having the custody of a public document, which any person
has a right to inspect, shall give that person on demand a copy of it on payment of the legal
fees therefor, together with a certificate written at the foot of such copy that it is a true copy
of such document or part thereof, as the case may be, and such certificate shall be dated and
subscribed by such officer with his name and his official title, and shall be sealed, whenever
such officer is authorised by law to make use of a seal; and such copies so certified shall be
called certified copies.
Explanation.—Any officer who, by the ordinary course of official duty, is authorised
to deliver such copies, shall be deemed to have the custody of such documents within the
meaning of this section.","Providing Copies of Public Documents: Any public officer who is responsible for a public document that can be inspected by the public must give a copy of it to any person who requests it. The person making the request must pay the legal fees for the copy. The officer must also provide a certificate at the bottom of the copy, confirming that it is a true copy of the document or part of the document. The certificate must include the date, the officer's name and official title, and must be sealed if the officer is required to use a seal by law. These certified copies are then referred to as certified copies.

Further Explanation: Any officer who is regularly required to provide such copies in the course of their official duties is considered to have custody of the documents referred to in this section."
"76. Such certified copies may be produced in proof of the contents of the public
documents or parts of the public documents of which they purport to be copies.",Certified copies are valid as evidence of the information in public documents or parts of public documents that they claim to represent.
"77. The following public documents may be proved as follows:—
(a) Acts, orders or notifications of the Central Government in any of its Ministries
and Departments or of any State Government or any Department of any State
Government or Union territory Administration—
(i) by the records of the Departments, certified by the head of those
Departments respectively; or
(ii) by any document purporting to be printed by order of any such
Government;
(b) the proceedings of Parliament or a State Legislature, by the journals of those
bodies respectively, or by published Acts or abstracts, or by copies purporting to be
printed by order of the Government concerned;
(c) proclamations, orders or Regulations issued by the President of India or the
Governor of a State or the Administrator or Lieutenant Governor of a Union territory,
by copies or extracts contained in the Official Gazette;
(d) the Acts of the Executive or the proceedings of the Legislature of a foreign
country, by journals published by their authority, or commonly received in that country
as such, or by a copy certified under the seal of the country or sovereign, or by a
recognition thereof in any Central Act;
(e) the proceedings of a municipal or local body in a State, by a copy of such
proceedings, certified by the legal keeper thereof, or by a printed book purporting to
be published by the authority of such body;
(f) public documents of any other class in a foreign country, by the original or
by a copy certified by the legal keeper thereof, with a certificate under the seal of a
Notary Public, or of an Indian Consul or diplomatic agent, that the copy is duly
certified by the officer having the legal custody of the original, and upon proof of the
character of the document according to the law of the foreign country.","Proof of Public Documents: Certain public documents can be proven in the following ways:

Acts, orders, or notifications of the Central Government or any State Government can be proven using records certified by the head of the respective departments, or any document printed by order of the government.

The proceedings of Parliament or a State Legislature can be proven using their respective journals, published Acts, abstracts, or copies printed by order of the concerned government.

Proclamations, orders, or regulations issued by the President of India, a State Governor, or an Administrator or Lieutenant Governor of a Union territory can be proven using copies or extracts from the Official Gazette.

Acts of the Executive or the proceedings of the Legislature of a foreign country can be proven using journals published by their authority, copies certified under the seal of the country or sovereign, or by recognition thereof in any Central Act.

The proceedings of a municipal or local body in a state can be proven using certified copies of the proceedings or a printed book published by the authority of the body.

Public documents of any other class in a foreign country can be proven using the original or a certified copy with a certificate under the seal of a Notary Public, or an Indian Consul or diplomatic agent, stating that the copy is duly certified by the officer having the legal custody of the original, and proof of the document's character according to the law of the foreign country."
"78. (1) The Court shall presume to be genuine every document purporting to be a
certificate, certified copy or other document, which is by law declared to be admissible as
evidence of any particular fact and which purports to be duly certified by any officer of the
Central Government or of a State Government:
Provided that such document is substantially in the form and purports to be executed
in the manner directed by law in that behalf.
(2) The Court shall also presume that any officer by whom any such document
purports to be signed or certified, held, when he signed it, the official character which he
claims in such paper.","Presumption of Authenticity of Documents:
The court will assume that any document claiming to be a certificate, certified copy, or other document, and is declared admissible as evidence of a specific fact by law, is genuine. This is as long as it is certified by an officer of the Central Government or a State Government and follows the required legal form and execution.
Additionally, the court will also assume that the officer who signed or certified such a document held the official position they claim when they signed it."
"79. Whenever any document is produced before any Court, purporting to be a record
or memorandum of the evidence, or of any part of the evidence, given by a witness in a
judicial proceeding or before any officer authorised by law to take such evidence or to be a
statement or confession by any prisoner or accused person, taken in accordance with law,
and purporting to be signed by any Judge or Magistrate, or by any such officer as aforesaid,
the Court shall presume that—
(i) the document is genuine;
(ii) any statements as to the circumstances under which it was taken, purporting
to be made by the person signing it, are true; and
(iii) such evidence, statement or confession was duly taken.","Documentary Evidence: When a document is presented before a court, claiming to be a written record of a witness's testimony in a legal proceeding or a statement or confession by a prisoner or accused person, and it is signed by a judge, magistrate, or authorized officer, the court will assume that:

The document is authentic.
Statements regarding the circumstances in which it was obtained, as claimed by the person who signed it, are accurate.
The evidence, statement, or confession was lawfully obtained."
"80. The Court shall presume the genuineness of every document purporting to be
the Official Gazette, or to be a newspaper or journal, and of every document purporting to be
a document directed by any law to be kept by any person, if such document is kept
substantially in the form required by law and is produced from proper custody.
Explanation.—For the purposes of this section and section 92, document is said to
be in proper custody if it is in the place in which, and looked after by the person with whom
such document is required to be kept; but no custody is improper if it is proved to have had
a legitimate origin, or if the circumstances of the particular case are such as to render that
origin probable.","Presumption of Authenticity: The court will assume that any document claiming to be the Official Gazette, a newspaper or journal, or a document required by law to be kept by someone, is genuine if it is maintained in the correct form as required by law and is produced from the appropriate custody.

Explanation: For this rule and another related rule, a document is considered to be in proper custody if it is held and taken care of by the person who is required to keep it, in the place where it is supposed to be kept. However, custody will not be considered improper if it can be shown that the document has a legitimate origin, or if the circumstances of the case make this origin likely."
"81. The Court shall presume the genuineness of every electronic or digital record
purporting to be the Official Gazette, or purporting to be electronic or digital record directed
by any law to be kept by any person, if such electronic or digital record is kept substantially
in the form required by law and is produced from proper custody.
Explanation.—For the purposes of this section and section 93 electronic records are
said to be in proper custody if they are in the place in which, and looked after by the person
with whom such document is required to be kept; but no custody is improper if it is proved
to have had a legitimate origin, or the circumstances of the particular case are such as to
render that origin probable.","Every electronic or digital record that claims to be the Official Gazette, or that is required by law to be kept by someone, will be presumed to be genuine by the Court if it is kept in the correct form as required by law and is produced from the proper custody.

Explanation: Electronic records are considered to be in proper custody if they are kept in the place and under the care of the person responsible for keeping them. However, custody will not be considered improper if it can be proven to have a legitimate origin, or if the circumstances of the case make that origin likely."
"82. The Court shall presume that maps or plans purporting to be made by the authority
of the Central Government or any State Government were so made, and are accurate; but
maps or plans made for the purposes of any cause must be proved to be accurate.","Maps or Plans: The Court will assume that maps or plans made by the Central Government or a State Government are accurate, unless there is proof otherwise. However, maps or plans made for a specific case must be proven to be accurate."
"83. The Court shall presume the genuineness of, every book purporting to be printed
or published under the authority of the Government of any country, and to contain any of
the laws of that country, and of every book purporting to contain reports of decisions of the
Courts of such country","Presumption of Authenticity: The Court will assume that any book claiming to be published by a government and containing its laws, or claiming to contain court decisions of that country, is genuine."
"84. The Court shall presume that every document purporting to be a
power-of-attorney, and to have been executed before, and authenticated by, a Notary Public,
or any Court, Judge, Magistrate, Indian Consul or Vice-Consul, or representative of the
Central Government, was so executed and authenticated.","Presumed Authenticity of Power-of-Attorney: The Court will assume that any document claiming to be a power-of-attorney, and certified by a Notary Public, Court, Judge, Magistrate, Indian Consul or Vice-Consul, or representative of the Central Government, was genuinely executed and certified as claimed."
"85. The Court shall presume that every electronic record purporting to be an agreement
containing the electronic or digital signature of the parties was so concluded by affixing the
electronic or digital signature of the parties",The Court will assume that any electronic record claiming to be an agreement with the electronic or digital signatures of the parties was indeed concluded by the parties using those signatures.
"86. (1) In any proceeding involving a secure electronic record, the Court shall presume
unless contrary is proved, that the secure electronic record has not been altered since the
specific point of time to which the secure status relates.
(2) In any proceeding, involving secure electronic signature, the Court shall presume
unless the contrary is proved that—
(a) the secure electronic signature is affixed by subscriber with the intention of
signing or approving the electronic record;
(b) except in the case of a secure electronic record or a secure electronic signature,
nothing in this section shall create any presumption, relating to authenticity and
integrity of the electronic record or any electronic signature.","86. (1) When dealing with a secure electronic record in court, it will be assumed, unless proven otherwise, that the record has not been changed since the specific time it was secured.
(2) When dealing with a secure electronic signature, the court will assume, unless proven otherwise, that:
(a) the signature was intended by the person to sign or approve the electronic record;
(b) this section does not create any assumptions about the authenticity and integrity of the electronic record or any electronic signature, unless they are secure."
"87. The Court shall presume, unless contrary is proved, that the information listed in
an Electronic Signature Certificate is correct, except for information specified as subscriber
information which has not been verified, if the certificate was accepted by the subscriber","The Court will assume that the information in an Electronic Signature Certificate is true, unless someone can prove otherwise. This is true for all information except for the subscriber information that has not been verified, if the certificate was accepted by the subscriber."
"88. (1) The Court may presume that any document purporting to be a certified copy of
any judicial record of any country beyond India is genuine and accurate, if the document
purports to be certified in any manner which is certified by any representative of the Central
Government in or for such country to be the manner commonly in use in that country for the
certification of copies of judicial records.
(2) An officer who, with respect to any territory or place outside India is a Political
Agent therefor, as defined in clause (43) of section 3 of the General Clauses Act, 1897, shall,
for the purposes of this section, be deemed to be a representative of the Central Government
in and for the country comprising that territory or place.","Presumption of Authenticity of Foreign Judicial Records:
The Court can assume that a document claiming to be a certified copy of a judicial record from a country outside India is genuine and accurate if it is certified in a way that is commonly used in that country for certifying copies of judicial records, as determined by a representative of the Central Government in that country.
Definition of Representative:
An officer serving as a Political Agent for a territory or place outside India, as defined in the General Clauses Act, 1897, will be considered a representative of the Central Government for the purposes of this section."
"89. The Court may presume that any book to which it may refer for information on
matters of public or general interest, and that any published map or chart, the statements of
which are relevant facts, and which is produced for its inspection, was written and published
by the person, and at the time and place, by whom or at which it purports to have been
written or published.","Presumption of Reliability: The Court can assume that any book, map, or chart it refers to for public or general information, and which is relevant to the case, was actually written and published by the person and at the time and place it claims to have been."
"90. The Court may presume that an electronic message, forwarded by the originator
through an electronic mail server to the addressee to whom the message purports to be
addressed corresponds with the message as fed into his computer for transmission; but the
Court shall not make any presumption as to the person by whom such message was sent.","Presumption About Electronic Messages: The court can assume that an electronic message sent by the sender through an email server to the recipient matches the message entered into the recipient's computer for sending. However, the court cannot make any assumptions about who sent the message."
"91. The Court shall presume that every document, called for and not produced after
notice to produce, was attested, stamped and executed in the manner required by law.","Assuming a Document: If a document is requested in court but not provided after being asked for, the court will assume that it was properly witnessed, stamped, and signed as required by law."
"92. Where any document, purporting or proved to be thirty years old, is produced
from any custody which the Court in the particular case considers proper, the Court may
presume that the signature and every other part of such document, which purports to be in
the handwriting of any particular person, is in that person's handwriting, and, in the case of
a document executed or attested, that it was duly executed and attested by the persons by
whom it purports to be executed and attested.
Explanation.—The Explanation to section 80 shall also apply to this section.
Illustrations.
(a) A has been in possession of landed property for a long time. He produces from
his custody deeds relating to the land showing his titles to it. The custody shall be proper.
(b) A produces deeds relating to landed property of which he is the mortgagee. The
mortgagor is in possession. The custody shall be proper.
(c) A, a connection of B, produces deeds relating to lands in B's possession, which
were deposited with him by B for safe custody. The custody shall be proper.","Presumption of Authenticity of Old Documents: If a document that is at least thirty years old is produced from a suitable place of custody, the court can presume that the signature and any other part of the document that appears to be in the handwriting of a specific person is indeed written by that person. Additionally, in the case of a document that was signed or witnessed, the court can presume that it was properly signed and witnessed by the individuals identified in the document.

Example scenarios:
a) A person A has owned a piece of land for a long time and produces historical papers related to the property from their own custody. The court considers this to be appropriate custody.
b) A person A produces documents related to a piece of land for which they are the mortgage holder, and the original landowner possesses the property. The court deems this as proper custody.
c) A person A, who is related to person B, presents documents related to land that is in person B's possession. These documents were entrusted to A by B for safekeeping. The court considers this as proper custody.

The Explanation to section 80 of the law also applies to this section."
